"","Term","Partei","Frequenz"
"1","erneuerbare","AfD",2
"2","kohlenstoffdioxid","AfD",1
"3","co2","AfD",3
"4","klimaschutz","AfD",1
"5","emission","AfD",1
"6","emissionsfrein","AfD",1
"7","energien","AfD",0
"8","atmosphäre","AfD",0
"9","treibhausgasen","AfD",0
"10","treibhausgase","AfD",0
"11","treibhauseffekt","AfD",0
"12","emissionshandel","AfD",0
"13","erderwärmung","AfD",0
"14","treibhausgasemission","AfD",0
"15","emissionsfreien","AfD",0
"16","klimawandel","AfD",0
"17","klimakrise","AfD",0
"18","treibhausgasausstoß","AfD",0
"19","emissionsvorgabe","AfD",0
"20","emissionsausstoß","AfD",0
"21","emissionszertifikat","AfD",0
"22","emissionsschutzrecht","AfD",0
"23","klimakatastrophe","AfD",0
"24","emissionsarm","AfD",0
"25","emissionsreduktion","AfD",0
"26","emissionssektor","AfD",0
"27","treibhausgasminderung","AfD",0
"28","emissionsfrei","AfD",0
"29","treibhaus","AfD",0
"30","emissionsfreier","AfD",0
"31","emissionsbudget","AfD",0
"32","emissionshandelssystem","AfD",0
"33","treibhausgasreduzierung","AfD",0
"34","abholzung","AfD",0
"35","emissionszertifikaten","AfD",0
"36","emissionsrechen","AfD",0
"37","emissionsminderung","AfD",0
"38","emissionshandeissystem","AfD",0
"39","emissionszertifikatehandel","AfD",0
"40","emissionsrecht","AfD",0
"41","emissionsrechemissionsrechte","AfD",0
"42","emissionshandelsrichtlinie","AfD",0
"43","emissionsbegrenzung","AfD",0
"44","treibhausgas","AfD",0
"45","emissionsziel","AfD",0
"46","emissionshandelsystem","AfD",0
"47","emissionsgrenzwert","AfD",0
"48","treibhausgasneutral","AfD",0
"49","treibhausgasneutralität","AfD",0
"50","erneuerbare","B90dieGruene",88
"51","kohlenstoffdioxid","B90dieGruene",0
"52","co2","B90dieGruene",53
"53","klimaschutz","B90dieGruene",115
"54","emission","B90dieGruene",26
"55","emissionsfrein","B90dieGruene",1
"56","energien","B90dieGruene",87
"57","atmosphäre","B90dieGruene",5
"58","treibhausgasen","B90dieGruene",4
"59","treibhausgase","B90dieGruene",4
"60","treibhauseffekt","B90dieGruene",1
"61","emissionshandel","B90dieGruene",20
"62","erderwärmung","B90dieGruene",3
"63","treibhausgasemission","B90dieGruene",9
"64","emissionsfreien","B90dieGruene",2
"65","klimawandel","B90dieGruene",39
"66","klimakrise","B90dieGruene",21
"67","treibhausgasausstoß","B90dieGruene",1
"68","emissionsvorgabe","B90dieGruene",1
"69","emissionsausstoß","B90dieGruene",1
"70","emissionszertifikat","B90dieGruene",1
"71","emissionsschutzrecht","B90dieGruene",1
"72","klimakatastrophe","B90dieGruene",11
"73","emissionsarm","B90dieGruene",1
"74","emissionsreduktion","B90dieGruene",1
"75","emissionssektor","B90dieGruene",1
"76","treibhausgasminderung","B90dieGruene",1
"77","emissionsfrei","B90dieGruene",3
"78","treibhaus","B90dieGruene",1
"79","emissionsfreier","B90dieGruene",1
"80","emissionsbudget","B90dieGruene",1
"81","emissionshandelssystem","B90dieGruene",0
"82","treibhausgasreduzierung","B90dieGruene",0
"83","abholzung","B90dieGruene",0
"84","emissionszertifikaten","B90dieGruene",0
"85","emissionsrechen","B90dieGruene",0
"86","emissionsminderung","B90dieGruene",0
"87","emissionshandeissystem","B90dieGruene",0
"88","emissionszertifikatehandel","B90dieGruene",0
"89","emissionsrecht","B90dieGruene",0
"90","emissionsrechemissionsrechte","B90dieGruene",0
"91","emissionshandelsrichtlinie","B90dieGruene",0
"92","emissionsbegrenzung","B90dieGruene",0
"93","treibhausgas","B90dieGruene",0
"94","emissionsziel","B90dieGruene",0
"95","emissionshandelsystem","B90dieGruene",0
"96","emissionsgrenzwert","B90dieGruene",0
"97","treibhausgasneutral","B90dieGruene",0
"98","treibhausgasneutralität","B90dieGruene",0
"99","erneuerbare","CDU",10
"100","kohlenstoffdioxid","CDU",0
"101","co2","CDU",14
"102","klimaschutz","CDU",36
"103","emission","CDU",5
"104","emissionsfrein","CDU",0
"105","energien","CDU",1
"106","atmosphäre","CDU",0
"107","treibhausgasen","CDU",0
"108","treibhausgase","CDU",3
"109","treibhauseffekt","CDU",0
"110","emissionshandel","CDU",6
"111","erderwärmung","CDU",3
"112","treibhausgasemission","CDU",1
"113","emissionsfreien","CDU",0
"114","klimawandel","CDU",12
"115","klimakrise","CDU",0
"116","treibhausgasausstoß","CDU",0
"117","emissionsvorgabe","CDU",0
"118","emissionsausstoß","CDU",0
"119","emissionszertifikat","CDU",0
"120","emissionsschutzrecht","CDU",0
"121","klimakatastrophe","CDU",0
"122","emissionsarm","CDU",0
"123","emissionsreduktion","CDU",0
"124","emissionssektor","CDU",0
"125","treibhausgasminderung","CDU",0
"126","emissionsfrei","CDU",0
"127","treibhaus","CDU",0
"128","emissionsfreier","CDU",0
"129","emissionsbudget","CDU",0
"130","emissionshandelssystem","CDU",1
"131","treibhausgasreduzierung","CDU",1
"132","abholzung","CDU",0
"133","emissionszertifikaten","CDU",0
"134","emissionsrechen","CDU",0
"135","emissionsminderung","CDU",0
"136","emissionshandeissystem","CDU",0
"137","emissionszertifikatehandel","CDU",0
"138","emissionsrecht","CDU",0
"139","emissionsrechemissionsrechte","CDU",0
"140","emissionshandelsrichtlinie","CDU",0
"141","emissionsbegrenzung","CDU",0
"142","treibhausgas","CDU",0
"143","emissionsziel","CDU",0
"144","emissionshandelsystem","CDU",0
"145","emissionsgrenzwert","CDU",0
"146","treibhausgasneutral","CDU",0
"147","treibhausgasneutralität","CDU",0
"148","erneuerbare","DIELINKE",16
"149","kohlenstoffdioxid","DIELINKE",0
"150","co2","DIELINKE",14
"151","klimaschutz","DIELINKE",12
"152","emission","DIELINKE",2
"153","emissionsfrein","DIELINKE",0
"154","energien","DIELINKE",0
"155","atmosphäre","DIELINKE",0
"156","treibhausgasen","DIELINKE",2
"157","treibhausgase","DIELINKE",0
"158","treibhauseffekt","DIELINKE",0
"159","emissionshandel","DIELINKE",8
"160","erderwärmung","DIELINKE",1
"161","treibhausgasemission","DIELINKE",2
"162","emissionsfreien","DIELINKE",0
"163","klimawandel","DIELINKE",21
"164","klimakrise","DIELINKE",3
"165","treibhausgasausstoß","DIELINKE",1
"166","emissionsvorgabe","DIELINKE",0
"167","emissionsausstoß","DIELINKE",0
"168","emissionszertifikat","DIELINKE",0
"169","emissionsschutzrecht","DIELINKE",0
"170","klimakatastrophe","DIELINKE",3
"171","emissionsarm","DIELINKE",0
"172","emissionsreduktion","DIELINKE",0
"173","emissionssektor","DIELINKE",0
"174","treibhausgasminderung","DIELINKE",0
"175","emissionsfrei","DIELINKE",0
"176","treibhaus","DIELINKE",0
"177","emissionsfreier","DIELINKE",0
"178","emissionsbudget","DIELINKE",0
"179","emissionshandelssystem","DIELINKE",1
"180","treibhausgasreduzierung","DIELINKE",0
"181","abholzung","DIELINKE",1
"182","emissionszertifikaten","DIELINKE",1
"183","emissionsrechen","DIELINKE",1
"184","emissionsminderung","DIELINKE",0
"185","emissionshandeissystem","DIELINKE",0
"186","emissionszertifikatehandel","DIELINKE",0
"187","emissionsrecht","DIELINKE",0
"188","emissionsrechemissionsrechte","DIELINKE",0
"189","emissionshandelsrichtlinie","DIELINKE",0
"190","emissionsbegrenzung","DIELINKE",0
"191","treibhausgas","DIELINKE",0
"192","emissionsziel","DIELINKE",0
"193","emissionshandelsystem","DIELINKE",0
"194","emissionsgrenzwert","DIELINKE",0
"195","treibhausgasneutral","DIELINKE",0
"196","treibhausgasneutralität","DIELINKE",0
"197","erneuerbare","FDP",15
"198","kohlenstoffdioxid","FDP",1
"199","co2","FDP",17
"200","klimaschutz","FDP",31
"201","emission","FDP",14
"202","emissionsfrein","FDP",0
"203","energien","FDP",22
"204","atmosphäre","FDP",1
"205","treibhausgasen","FDP",0
"206","treibhausgase","FDP",2
"207","treibhauseffekt","FDP",0
"208","emissionshandel","FDP",30
"209","erderwärmung","FDP",0
"210","treibhausgasemission","FDP",7
"211","emissionsfreien","FDP",0
"212","klimawandel","FDP",9
"213","klimakrise","FDP",0
"214","treibhausgasausstoß","FDP",0
"215","emissionsvorgabe","FDP",0
"216","emissionsausstoß","FDP",0
"217","emissionszertifikat","FDP",4
"218","emissionsschutzrecht","FDP",0
"219","klimakatastrophe","FDP",1
"220","emissionsarm","FDP",1
"221","emissionsreduktion","FDP",0
"222","emissionssektor","FDP",0
"223","treibhausgasminderung","FDP",2
"224","emissionsfrei","FDP",0
"225","treibhaus","FDP",0
"226","emissionsfreier","FDP",0
"227","emissionsbudget","FDP",0
"228","emissionshandelssystem","FDP",1
"229","treibhausgasreduzierung","FDP",1
"230","abholzung","FDP",6
"231","emissionszertifikaten","FDP",0
"232","emissionsrechen","FDP",0
"233","emissionsminderung","FDP",2
"234","emissionshandeissystem","FDP",1
"235","emissionszertifikatehandel","FDP",1
"236","emissionsrecht","FDP",4
"237","emissionsrechemissionsrechte","FDP",1
"238","emissionshandelsrichtlinie","FDP",1
"239","emissionsbegrenzung","FDP",1
"240","treibhausgas","FDP",1
"241","emissionsziel","FDP",2
"242","emissionshandelsystem","FDP",0
"243","emissionsgrenzwert","FDP",0
"244","treibhausgasneutral","FDP",0
"245","treibhausgasneutralität","FDP",0
"246","erneuerbare","PDS",2
"247","kohlenstoffdioxid","PDS",0
"248","co2","PDS",0
"249","klimaschutz","PDS",1
"250","emission","PDS",3
"251","emissionsfrein","PDS",0
"252","energien","PDS",0
"253","atmosphäre","PDS",0
"254","treibhausgasen","PDS",0
"255","treibhausgase","PDS",0
"256","treibhauseffekt","PDS",0
"257","emissionshandel","PDS",0
"258","erderwärmung","PDS",0
"259","treibhausgasemission","PDS",1
"260","emissionsfreien","PDS",0
"261","klimawandel","PDS",0
"262","klimakrise","PDS",0
"263","treibhausgasausstoß","PDS",0
"264","emissionsvorgabe","PDS",0
"265","emissionsausstoß","PDS",0
"266","emissionszertifikat","PDS",0
"267","emissionsschutzrecht","PDS",0
"268","klimakatastrophe","PDS",0
"269","emissionsarm","PDS",0
"270","emissionsreduktion","PDS",0
"271","emissionssektor","PDS",0
"272","treibhausgasminderung","PDS",0
"273","emissionsfrei","PDS",0
"274","treibhaus","PDS",0
"275","emissionsfreier","PDS",0
"276","emissionsbudget","PDS",0
"277","emissionshandelssystem","PDS",0
"278","treibhausgasreduzierung","PDS",0
"279","abholzung","PDS",0
"280","emissionszertifikaten","PDS",0
"281","emissionsrechen","PDS",0
"282","emissionsminderung","PDS",0
"283","emissionshandeissystem","PDS",0
"284","emissionszertifikatehandel","PDS",0
"285","emissionsrecht","PDS",0
"286","emissionsrechemissionsrechte","PDS",0
"287","emissionshandelsrichtlinie","PDS",0
"288","emissionsbegrenzung","PDS",0
"289","treibhausgas","PDS",0
"290","emissionsziel","PDS",0
"291","emissionshandelsystem","PDS",1
"292","emissionsgrenzwert","PDS",0
"293","treibhausgasneutral","PDS",0
"294","treibhausgasneutralität","PDS",0
"295","erneuerbare","SPD",34
"296","kohlenstoffdioxid","SPD",0
"297","co2","SPD",14
"298","klimaschutz","SPD",24
"299","emission","SPD",9
"300","emissionsfrein","SPD",0
"301","energien","SPD",38
"302","atmosphäre","SPD",0
"303","treibhausgasen","SPD",0
"304","treibhausgase","SPD",1
"305","treibhauseffekt","SPD",0
"306","emissionshandel","SPD",5
"307","erderwärmung","SPD",0
"308","treibhausgasemission","SPD",4
"309","emissionsfreien","SPD",1
"310","klimawandel","SPD",16
"311","klimakrise","SPD",0
"312","treibhausgasausstoß","SPD",0
"313","emissionsvorgabe","SPD",0
"314","emissionsausstoß","SPD",0
"315","emissionszertifikat","SPD",1
"316","emissionsschutzrecht","SPD",0
"317","klimakatastrophe","SPD",0
"318","emissionsarm","SPD",1
"319","emissionsreduktion","SPD",0
"320","emissionssektor","SPD",0
"321","treibhausgasminderung","SPD",1
"322","emissionsfrei","SPD",1
"323","treibhaus","SPD",0
"324","emissionsfreier","SPD",0
"325","emissionsbudget","SPD",1
"326","emissionshandelssystem","SPD",0
"327","treibhausgasreduzierung","SPD",0
"328","abholzung","SPD",0
"329","emissionszertifikaten","SPD",0
"330","emissionsrechen","SPD",0
"331","emissionsminderung","SPD",0
"332","emissionshandeissystem","SPD",0
"333","emissionszertifikatehandel","SPD",0
"334","emissionsrecht","SPD",0
"335","emissionsrechemissionsrechte","SPD",0
"336","emissionshandelsrichtlinie","SPD",0
"337","emissionsbegrenzung","SPD",0
"338","treibhausgas","SPD",0
"339","emissionsziel","SPD",0
"340","emissionshandelsystem","SPD",0
"341","emissionsgrenzwert","SPD",1
"342","treibhausgasneutral","SPD",2
"343","treibhausgasneutralität","SPD",1
